cluster_id,source_batch,market,language,buyer_stage,intent_cluster,representative_keyword,query_variants,us_avg_12m_representative,cross_market_signal,target_url,page_role,evidence,current_performance,gap,business_fit_0_3,buyer_intent_0_3,evidence_advantage_0_3,competitiveness_0_3,demand_signal_0_3,weighted_score_0_3,priority,decision
KWM-001,commercial-us,US-discovery-plus-7-country,English,discovery,Sportswear manufacturer,sportswear manufacturer,sports apparel manufacturers | athletic wear manufacturers | sports clothing manufacturers,1560,validated-7-country,/sportswear-manufacturer/,Commercial,approved-product-and-production-assets,insufficient-gsc-query-sample,low-moq-teamwear-and-printing-noise,3,3,3,1,3,2.70,P0,keep-primary
KWM-002,commercial-us,US-discovery-plus-7-country,English,discovery,Activewear manufacturer,activewear manufacturer,activewear clothing manufacturers | activewear apparel manufacturers,436.7,validated-7-country,/sportswear-manufacturer/,Commercial,approved-product-and-production-assets,insufficient-gsc-query-sample,low-moq-startup-noise,3,3,3,1,3,2.70,P0,keep-secondary
KWM-003,commercial-us,US-discovery,English,discovery,Fitness and gym clothing manufacturer,fitness clothing manufacturer,workout clothes manufacturer | fitness wear manufacturers | gym clothing manufacturers,1112.5,cross-market-pending,/sportswear-manufacturer/,Commercial,approved-product-and-production-assets,insufficient-gsc-query-sample,country-demand-and-low-moq-noise,3,2,3,1,3,2.45,P1,validate-cross-market
KWM-004,commercial-us,US-discovery,English,discovery,Yoga clothing manufacturer,yoga clothes manufacturer,yoga wear manufacturer | yoga apparel manufacturer,954.2,cross-market-pending,/sportswear-manufacturer/,Commercial,approved-product-scope,insufficient-gsc-query-sample,womens-sets-startup-and-seamless-noise,2,2,2,1,3,1.95,P2,product-subtopic-only
KWM-005,commercial-us,US-discovery-plus-7-country,English,discovery,Custom sportswear manufacturer,custom sportswear manufacturer,custom sportswear suppliers,712.5,validated-7-country,/sportswear-manufacturer/,Commercial,approved-product-scope,insufficient-gsc-query-sample,teamwear-printing-and-low-moq-noise,2,2,2,1,3,1.95,P3,do-not-primary-target
KWM-006,commercial-us,US-discovery,English,screening,Private label and custom activewear,private label activewear manufacturer,custom activewear manufacturers | private label sportswear,46.7,cross-market-pending,/sportswear-manufacturer/,Commercial,approved-oem-model,insufficient-gsc-query-sample,startup-ready-style-and-low-moq-noise,2,2,2,1,1,1.75,P3,support-only
KWM-007,commercial-us,US-discovery,English,discovery,Sportswear supplier,sportswear suppliers,sportswear supplier,20.8,cross-market-pending,/sportswear-manufacturer/,Commercial,approved-product-and-production-assets,insufficient-gsc-query-sample,wholesale-trader-and-stock-goods-ambiguity,3,2,3,2,1,2.40,P2,support-only
KWM-008,commercial-us,US-discovery-plus-7-country,English,screening,OEM sportswear,oem sportswear,oem sportswear manufacturer,15.8,validated-US-CA-UK-NL,/sportswear-manufacturer/,Commercial,approved-oem-model-and-tech-pack-process,insufficient-gsc-query-sample,low-reported-demand,3,3,3,2,1,2.65,P1,keep-supporting
KWM-009,commercial-us,US-discovery,English,screening,Sustainable activewear manufacturer,sustainable activewear manufacturer,,13.3,cross-market-pending,/sportswear-manufacturer/,Commercial,approved-facts-only,insufficient-gsc-query-sample,certification-and-material-evidence-gate,2,2,1,1,1,1.55,P3,evidence-gate
KWM-010,commercial-us,US-discovery,English,discovery,Sportswear fabric manufacturer,sportswear fabric manufacturer,,32.5,cross-market-pending,/knitted-fabrics-manufacturer/,Commercial,approved-fabric-assets,insufficient-gsc-query-sample,garment-versus-fabric-intent-boundary,3,3,3,1,2,2.60,P1,validate-cross-market
KWM-011,product-material-us,US-discovery,English,discovery,Compression apparel manufacturer,compression shirt manufacturer,compression clothing manufacturer,473.3,cross-market-pending,/sportswear-manufacturer/,Commercial,approved-compression-product-scope,insufficient-gsc-query-sample,seasonal-spike-and-low-moq-noise,3,3,3,1,3,2.70,P1,validate-cross-market
KWM-012,product-material-us,US-discovery,English,discovery,Outdoor clothing manufacturer,outdoor clothing manufacturer,outdoor clothing suppliers | outdoor wear manufacturers,64.2,cross-market-pending,/outdoor-clothing-manufacturer/,Commercial,approved-outdoor-product-assets,insufficient-gsc-query-sample,broad-outdoor-gear-scope,3,3,3,1,2,2.60,P0,keep-primary
KWM-013,product-material-us,US-discovery,English,discovery,Hiking clothing manufacturer,hiking clothing manufacturers,,17.5,cross-market-pending,/outdoor-clothing-manufacturer/,Commercial,approved-product-scope-only,insufficient-gsc-query-sample,product-capability-boundary,2,2,2,1,1,1.75,P2,product-subtopic-only
KWM-014,product-material-us,US-discovery,English,discovery,Knitted fabric manufacturer,knitted fabric manufacturer,knit fabric supplier | knitted fabric factory | knit fabric mills,41.7,cross-market-pending,/knitted-fabrics-manufacturer/,Commercial,approved-fabric-assets,insufficient-gsc-query-sample,exact-plural-page-term-not-tested,3,3,3,2,2,2.75,P0,keep-primary
KWM-015,product-material-us,US-discovery,English,discovery,Jersey fabric supplier,jersey fabric supplier,,8.3,cross-market-pending,/knitted-fabrics-manufacturer/,Commercial,fabric-structure-evidence-needs-confirmation,insufficient-gsc-query-sample,specific-fabric-structure-evidence,3,3,2,2,1,2.45,P2,evidence-gate
KWM-016,product-material-us,US-discovery-plus-7-country,English,discovery,Merino wool clothing manufacturer,merino wool clothing manufacturer,merino clothing manufacturer,15,validated-7-country,/merino-wool-manufacturer/,Commercial,approved-merino-product-assets,insufficient-gsc-query-sample,current-title-uses-apparel-variant-with-NR,3,3,3,2,1,2.65,P0,keep-primary-cluster
KWM-017,product-material-us,US-discovery,English,discovery,Generic Merino wool manufacturer,merino wool manufacturers,,32.5,cross-market-pending,/merino-wool-manufacturer/,Commercial,approved-merino-product-assets,insufficient-gsc-query-sample,yarn-fiber-fabric-and-garment-ambiguity,2,2,2,1,2,1.85,P3,do-not-primary-target
